,Date,Open,High,Low,Close,Volume
0,2015-01-02,24.7786766820896,24.78979984807769,23.87997951870223,24.320430755615234,212818400
1,2015-01-05,24.08908208842444,24.169164129068307,23.4484274604303,23.635284423828125,257142000
2,2015-01-06,23.699801693652454,23.897781878192376,23.27492176463844,23.63751602172852,263188400
3,2015-01-07,23.846609873223667,24.06905959852298,23.73538501057401,23.968957901000977,160423600
4,2015-01-08,24.298182944962345,24.94773570086716,24.180283171231643,24.8898983001709,237458000
5,2015-01-09,25.063413321130795,25.192434585486712,24.51618713114462,24.916597366333008,214798000
6,2015-01-12,25.047841516104413,25.05451473706078,24.20253348421173,24.302635192871094,198603200
7,2015-01-13,24.78757370102578,25.092330444797703,24.227001123216635,24.518409729003903,268367600
8,2015-01-14,24.255916005440728,24.57846739841031,24.13579296123753,24.424978256225582,195826400
9,2015-01-15,24.469475315208918,24.48282175865421,23.726493879364345,23.7620849609375,240056000
10,2015-01-16,23.80879582865299,23.931143866715107,23.401712389817423,23.57744789123535,314053200
11,2015-01-20,23.98898885199803,24.24035824607291,23.69090689444068,24.18474578857422,199599600
12,2015-01-21,24.235903996851988,24.705273190593893,24.08463807142108,24.36937522888184,194303600
13,2015-01-22,24.52731638602784,25.01893025966735,24.40719328565352,25.003358840942383,215185600
14,2015-01-23,24.98111359768024,25.303665133708545,24.809826298674736,25.13237953186035,185859200
15,2015-01-26,25.30143486250604,25.43935432269461,25.09233324518674,25.159067153930664,222460000
16,2015-01-27,25.007794838857983,25.021142974909573,24.25369049246955,24.278160095214844,382274800
17,2015-01-28,26.1667658481308,26.27576745744223,25.65068244934082,25.65068244934082,585908400
18,2015-01-29,25.87534960253224,26.513780866484023,25.706287351627594,26.44927024841309,337745600
19,2015-01-30,26.338054971520894,26.69397428927985,25.993257124754823,26.062217712402344,334982000
20,2015-02-02,26.260193995235177,26.50933663217492,25.821967710701895,26.38921356201172,250956400
21,2015-02-03,26.36029369921333,26.491538228734484,26.162313570071944,26.39366149902344,207662800
22,2015-02-04,26.360296026384585,26.807420510137334,26.31803002974995,26.596092224121094,280598800
23,2015-02-05,26.803782198105004,26.850682501188462,26.63182066759936,26.78591728210449,168984800
24,2015-02-06,26.80378822297082,26.85515434063665,26.45316382281068,26.560361862182617,174826400
25,2015-02-09,26.47548917595357,26.763580297040683,26.448689249033023,26.73678207397461,155559200
26,2015-02-10,26.837284763150453,27.279474284093236,26.835052713303483,27.25044059753418,248034000
27,2015-02-11,27.41793298823511,27.89808774406307,27.35763527650538,27.8891544342041,294247200
28,2015-02-12,28.15268823597874,28.46981485273408,28.04325814425922,28.242019653320312,297898000
29,2015-02-13,28.42514275331345,28.42514275331345,28.06111930060856,28.38047790527344,217088800
