Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
2015-01-02,24.320430755615234,24.789799848077692,23.87997951870223,24.7786766820896,212818400
2015-01-05,23.635284423828125,24.169164129068307,23.4484274604303,24.08908208842444,257142000
2015-01-06,23.637516021728516,23.897781878192376,23.274921764638442,23.699801693652454,263188400
2015-01-07,23.968957901000977,24.06905959852298,23.73538501057401,23.846609873223667,160423600
2015-01-08,24.8898983001709,24.94773570086716,24.180283171231643,24.298182944962345,237458000
2015-01-09,24.916597366333008,25.192434585486712,24.51618713114462,25.063413321130795,214798000
2015-01-12,24.302635192871094,25.05451473706078,24.202533484211735,25.047841516104413,198603200
2015-01-13,24.518409729003906,25.092330444797703,24.227001123216635,24.78757370102578,268367600
2015-01-14,24.424978256225586,24.57846739841031,24.135792961237534,24.255916005440728,195826400
2015-01-15,23.7620849609375,24.48282175865421,23.726493879364345,24.469475315208914,240056000
2015-01-16,23.57744789123535,23.931143866715107,23.401712389817426,23.80879582865299,314053200
2015-01-20,24.18474578857422,24.24035824607291,23.690906894440676,23.98898885199803,199599600
2015-01-21,24.369375228881836,24.705273190593893,24.084638071421082,24.235903996851988,194303600
2015-01-22,25.003358840942383,25.01893025966735,24.407193285653516,24.52731638602784,215185600
2015-01-23,25.13237953186035,25.303665133708545,24.809826298674736,24.981113597680242,185859200
2015-01-26,25.159067153930664,25.439354322694612,25.09233324518674,25.301434862506042,222460000
2015-01-27,24.278160095214844,25.021142974909573,24.25369049246955,25.007794838857986,382274800
2015-01-28,25.65068244934082,26.27576745744223,25.65068244934082,26.1667658481308,585908400
2015-01-29,26.449270248413086,26.513780866484026,25.706287351627594,25.87534960253224,337745600
2015-01-30,26.062217712402344,26.693974289279854,25.993257124754823,26.338054971520894,334982000
2015-02-02,26.38921356201172,26.50933663217492,25.821967710701898,26.260193995235177,250956400
2015-02-03,26.393661499023438,26.491538228734484,26.162313570071944,26.360293699213326,207662800
2015-02-04,26.596092224121094,26.807420510137334,26.31803002974995,26.360296026384585,280598800
2015-02-05,26.785917282104492,26.850682501188466,26.63182066759936,26.803782198105004,168984800
2015-02-06,26.560361862182617,26.855154340636652,26.45316382281068,26.80378822297082,174826400
2015-02-09,26.73678207397461,26.763580297040683,26.448689249033023,26.475489175953566,155559200
2015-02-10,27.25044059753418,27.279474284093233,26.835052713303483,26.837284763150453,248034000
2015-02-11,27.8891544342041,27.89808774406307,27.35763527650538,27.41793298823511,294247200
2015-02-12,28.242019653320312,28.469814852734082,28.04325814425922,28.15268823597874,297898000
2015-02-13,28.380477905273438,28.425142753313455,28.06111930060856,28.425142753313455,217088800
2015-02-17,28.547975540161133,28.782470267606207,28.344746549194756,28.47204324881655,252609600
2015-02-18,28.746742248535156,28.760141365502836,28.4631151111148,28.503314165872993,179566800
2015-02-19,28.686437606811523,28.815968060168334,28.659639377741044,28.693137164079143,149449600
2015-02-20,28.920930862426758,28.920930862426758,28.597106449370063,28.724401438686076,195793600
2015-02-23,29.70258903503418,29.70258903503418,28.95667521095234,29.037073332618764,283896400
2015-02-24,29.517215728759766,29.836576047162705,29.293888073938817,29.68917897713058,276912400
2015-02-25,28.762371063232422,29.38992472080922,28.6194414810838,29.380989705088034,298846800
2015-02-26,29.12639808654785,29.22689486952783,28.27552009882832,28.762372846811893,365150000
2015-02-27,28.68867301940918,29.159894523514826,28.63954066105051,29.032596120210176,248059200
2015-03-02,28.829370498657227,29.09513099327998,28.652943124085446,28.865103746677615,192386800
2015-03-03,28.88966941833496,28.925402665724054,28.60604230471284,28.80033970757226,151265200
2015-03-04,28.70654296875,28.93433819206644,28.65741400657439,28.83160935154858,126665200
2015-03-05,28.230857849121094,28.75344389507226,28.085694490627343,28.715478591670053,226068400
2015-03-06,28.27328109741211,28.89189795896218,28.197350511715953,28.6752698585805,291368400
2015-03-09,28.39388084411621,28.936568873655904,27.929358864959124,28.577009471918817,354114000
2015-03-10,27.80653190612793,28.41174975782724,27.647969446430036,28.2308548693003,275426400
2015-03-11,27.29957389831543,27.864592630686776,27.270541914608945,27.860126826983816,275756000
2015-03-12,27.793127059936523,27.89362553089279,27.163343116592372,27.315205996029857,193450800
2015-03-13,27.6010684967041,28.005292775799237,27.375508755701606,27.78196508492979,207309200
2015-03-16,27.904794692993164,27.904794692993164,27.440274384249296,27.66583412848828,143497200
2015-03-17,28.371549606323242,28.434081086166454,28.061124257205115,28.11695617904442,204092400
2015-03-18,28.690906524658203,28.84500316480817,28.221918750466266,28.362614571567367,261083600
2015-03-19,28.474275588989258,28.865098979426364,28.451943164592375,28.75343515358719,183238000
2015-03-20,28.11695671081543,28.67527423591279,27.951694696124928,28.6417764452597,274780400
2015-03-23,28.40951156616211,28.552441132968255,28.255414934758203,28.38941289451195,150838800
2015-03-24,28.293386459350586,28.594876805473984,28.26435276829262,28.41398362011301,131369200
2015-03-25,27.554166793823242,28.3224145094313,27.554166793823242,28.25988303562225,206620800
2015-03-26,27.746232986450195,27.889162578221786,27.37997569455361,27.415708944424075,190291600
2015-03-27,27.525127410888672,27.848951757710303,27.449196842777717,27.81991978234807,158184800
2015-03-30,28.22191619873047,28.228615755721684,27.692629046312423,27.7037961105343,188398800
2015-03-31,27.78866195678711,28.248716410272372,27.773029088091636,28.159385001788998,168362400
2015-04-01,27.748462677001953,27.94275836104558,27.491635518697358,27.875759379277465,162485600
2015-04-02,27.987417221069336,28.041015372695895,27.735057624300385,27.922652006920593,128880400
2015-04-06,28.440786361694336,28.476519616705453,27.766337359985553,27.797603106192593,148776000
2015-04-07,28.14151954650879,28.612739352158854,28.134819989174908,28.50554302710699,140049200
2015-04-08,28.049957275390625,28.22862010735405,27.909261445321576,28.105789197397314,149316800
2015-04-09,28.26434898376465,28.26881649126235,27.840027779646462,28.10578654469382,129936000
2015-04-10,28.38494873046875,28.40951491239349,27.974026603464083,28.128121549163314,160752000
2015-04-13,28.32911491394043,28.713240487086196,28.275516749623428,28.668572226421336,145460400
2015-04-14,28.206287384033203,28.427381315785674,28.119189722922986,28.36261608247333,102098400
2015-04-15,28.31348419189453,28.39164854242009,28.141522620738304,28.23085403727682,115881600
2015-04-16,28.177257537841797,28.3849523820164,28.163858420106422,28.20182372292682,113476000
2015-04-17,27.860130310058594,28.170555673798134,27.795365073211876,28.03879314990162,207828000
2015-04-20,28.496614456176758,28.612744111609118,27.95392807174839,28.043259493387595,188217200
2015-04-21,28.34251594543457,28.630607145708005,28.288916076860733,28.608276422917974,129740400
2015-04-22,28.72440528869629,28.78023720904142,28.21075264383407,28.360381781433826,150618000
2015-04-23,28.95889663696289,29.126392378340356,28.617205597169626,28.65293883984712,183083600
2015-04-24,29.095130920410156,29.173296974295226,28.86063616646502,29.142031234283216,178103600
2015-04-27,29.62441062927246,29.731610352000253,29.28941916309429,29.548480048122336,387816800
2015-04-28,29.15765953063965,30.046502687249728,28.936567322211797,30.02863947275252,475696000
2015-04-29,28.728870391845703,29.38768631523267,28.652939804382193,29.068329393289822,253544400
2015-04-30,27.949459075927734,28.728872190424035,27.82216236838046,28.728872190424035,332781600
2015-05-01,28.798099517822266,29.061627914377524,27.982954965995784,28.16161606201944,234050400
2015-05-04,28.742271423339844,29.15989649766207,28.644006699969907,28.920934246947915,203953200
2015-05-05,28.094619750976562,28.686436675126448,28.09015224370668,28.61943769691656,197085600
2015-05-06,27.918188095092773,28.30677770244947,27.549697157011853,28.264344906616653,288564000
2015-05-07,28.090866088867188,28.27475960018269,27.812781882704968,27.98097723004128,175763600
2015-05-08,28.62013053894043,28.62013053894043,28.281496646737725,28.409325085242145,222201600
2015-05-11,28.328588485717773,28.606671048184207,28.17384818122156,28.56854717086461,168143200
2015-05-12,28.227678298950195,28.454180240640554,27.99220401825435,28.16712698746962,192640000
2015-05-13,28.259071350097656,28.523698857849375,28.227675011124752,28.290467689070557,138776800
2015-05-14,28.91839027404785,28.91839027404785,28.516965491873634,28.573030615872153,180814000
2015-05-15,28.87802505493164,29.039492885957355,28.752439724565775,28.945303888182956,152832000
2015-05-18,29.196475982666016,29.31533377773786,28.786078843817585,28.79056501210627,203531600
2015-05-19,29.169572830200195,29.351223337213625,29.07313900949819,29.308613283085617,178532800
2015-05-20,29.167320251464844,29.37363950202688,29.005852416773912,29.15386516889788,145819600
2015-05-21,29.465595245361328,29.519419012399055,29.115749314477668,29.169573081515395,158921600
2015-05-22,29.723493576049805,29.81992739775114,29.46783667057702,29.51269152082581,182384000
2015-05-26,29.068649291992188,29.806468364377803,28.95651902510816,29.736948146420776,282790400
2015-05-27,29.611364364624023,29.6607019641253,29.1650880172417,29.230122077341694,183332800
2015-05-28,29.553050994873047,29.591174872566278,29.400555484100128,29.570992247071736,122933200
2015-05-29,29.21666145324707,29.47904586162355,29.131441357179046,29.42970827147302,203538000
2015-06-01,29.27497100830078,29.4655938466424,29.1650855276555,29.216664496569496,128451200
2015-06-02,29.1449031829834,29.30188488682264,29.001376564909734,29.122475758744436,134670400
2015-06-03,29.1807804107666,29.364675696358162,29.13144281814176,29.301883018825503,123934000
2015-06-04,29.01034164428711,29.283939758480475,28.909425092448846,29.059679233531426,153800400
2015-06-05,28.851112365722656,29.084345205321515,28.786078325454806,29.04173516220574,142507200
2015-06-08,28.660491943359375,28.976700062553448,28.442958989469293,28.907176434675755,210699200
2015-06-09,28.575275421142578,28.723288187543126,28.171607506451284,28.41380757087726,224301600
2015-06-10,28.90269660949707,29.00585453132655,28.67170683910317,28.687405006899652,156349200
2015-06-11,28.837661743164062,29.194235177107373,28.812992947120826,28.969974639239496,141563600
